Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
MODULE 1 — User Registration,ELP-1,10079,Epic,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:17 AM,02/Apr/26 8:17 AM,,,,0,,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26994ea9,,,,,ghx-label-7,User Registration,To Do,,,,purple,,,,,0|i0003b:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 8:17 AM
1.1 Sign Up / Registration,ELP-2,10080,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:17 AM,02/Apr/26 8:33 AM,02/Apr/26 8:37 AM,,,0,• Complete sign-up flow with all field validations and OTP verification,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-28,ELP-29,ELP-30,ELP-31,ELP-32,ELP-33,ELP-34,ELP-50,ELP-51,ELP-52,ELP-53,ELP-54,ELP-55,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@63ee2ed6,,,,,,,,,,,,,,,,0|i0003j:,,,ELP Sprint 1,,,8.0,,,,,,,,,10079,ELP-1,MODULE 1 — User Registration,To Do,02/Apr/26 8:17 AM
1.2 Social Login (Google / Facebook),ELP-3,10081,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:17 AM,02/Apr/26 8:33 AM,,,,0,"• Options: Google / Facebook
• Only authenticated login allowed
• First login → auto profile creation
• Duplicate account → ""Account already exists.""",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@380a4347,,,,,,,,,,,,,,,,0|i0003r:,,,ELP Sprint 1,,,3.0,,,,,,,,,10079,ELP-1,MODULE 1 — User Registration,To Do,02/Apr/26 8:17 AM
MODULE 2 — User Login,ELP-4,10082,Epic,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:17 AM,02/Apr/26 8:17 AM,,,,0,,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32fbbc34,,,,,ghx-label-4,User Login,To Do,,,,dark_blue,,,,,0|i0003z:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 8:17 AM
2.1 Email / Mobile Login,ELP-5,10083,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:17 AM,02/Apr/26 8:33 AM,,,,0,• Login via registered email or mobile number with password,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-35,ELP-36,ELP-37,ELP-38,ELP-39,ELP-56,ELP-57,ELP-58,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c7408c3,,,,,,,,,,,,,,,,0|i00047:,,,ELP Sprint 1,,,5.0,,,,,,,,,10082,ELP-4,MODULE 2 — User Login,To Do,02/Apr/26 8:17 AM
MODULE 3 — Dashboard / Home Page,ELP-6,10084,Epic,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:18 AM,,,,0,,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@52935710,,,,,ghx-label-13,Dashboard / Home Page,To Do,,,,dark_green,,,,,0|i0004f:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 8:18 AM
3.1 Navigation & Session Management,ELP-7,10085,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,"• After login → redirect to dashboard
• Session maintained until logout
• Session expiry → redirect to login page",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-60,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@751848e,,,,,,,,,,,,,,,,0|i0004n:,,,ELP Sprint 1,,,2.0,,,,,,,,,10084,ELP-6,MODULE 3 — Dashboard / Home Page,To Do,02/Apr/26 8:18 AM
3.2 Header Section,ELP-8,10086,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• Header components: search bar and user profile icon,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-40,ELP-41,ELP-59,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68a4824c,,,,,,,,,,,,,,,,0|i0004v:,,,ELP Sprint 1,,,3.0,,,,,,,,,10084,ELP-6,MODULE 3 — Dashboard / Home Page,To Do,02/Apr/26 8:18 AM
3.2.2 Profile Management Page,ELP-9,10087,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• Edit profile and change password functionality,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-42,ELP-43,ELP-61,ELP-62,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@24dabd8b,,,,,,,,,,,,,,,,0|i00053:,,,ELP Sprint 1,,,5.0,,,,,,,,,10084,ELP-6,MODULE 3 — Dashboard / Home Page,To Do,02/Apr/26 8:18 AM
MODULE 4 — Course Listing Page,ELP-10,10088,Epic,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:18 AM,,,,0,,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69babc25,,,,,ghx-label-9,Course Listing Page,To Do,,,,orange,,,,,0|i0005b:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 8:18 AM
